アルコール分,日本酒度,エキス分,総酸,アミノ酸度,甘辛度,濃淡度,精米歩合,容器,タイプ
14.4,5.82,3.54,1.01,0.918,-0.014,-1.11,73,リターナブル瓶,一般酒
15,4.1,3.71,1.13,1.02,-0.022,-1.06,69,茶色瓶,一般酒
15.2,7.65,4.76,1.61,1.21,0.13,-0.942,71,茶色瓶,一般酒
14.7,-4.78,4.3,1.32,1.13,0.375,-1.05,67,茶色瓶,一般酒
16,7.95,5.66,1.15,0.817,-0.541,-1.05,71,茶色瓶,一般酒
15.2,4.07,5.29,1.3,1.54,-0.307,-0.864,74,茶色瓶,一般酒
15.6,-0.536,4.48,1.32,1.05,0.018,-0.923,72,茶色瓶,一般酒
16.1,5.74,5.2,1.29,1.18,0.105,-1.1,73,茶色瓶,一般酒
14.7,4.82,5.81,0.985,1.05,0.049,-1.18,70,紙パック,一般酒
14.7,1.89,4.58,1.52,1.08,0.045,-0.967,71,茶色瓶,一般酒
16.1,4.65,5.56,1.15,1.1,-0.208,-0.855,69,茶色瓶,一般酒
15.7,3.34,5.36,1.1,1.07,-0.078,-0.999,70,その他色瓶,一般酒
15,2.4,4.2,1.24,0.893,-0.161,-1.16,71,茶色瓶,一般酒
14.9,1.86,3.79,1.46,0.501,-0.098,-1.1,70,茶色瓶,一般酒
15.6,6.17,4.86,1.07,0.906,0.312,-1.04,72,茶色瓶,一般酒
14.5,1.08,4.12,1.12,2.1,-0.271,-1.17,71,茶色瓶,一般酒
15.2,5.28,4.76,1.07,1.56,-0.224,-0.926,71,茶色瓶,一般酒
16.6,9.06,3.96,1.31,0.551,0.214,-1.15,71,紙パック,一般酒
15.4,-2.08,3.27,1.15,1.43,-0.16,-0.959,71,茶色瓶,一般酒
14.9,1.99,5.25,1.22,1.45,-0.233,-1.06,72,緑色瓶,一般酒
13.9,1.16,5.82,1.01,0.634,0.017,-0.995,73,茶色瓶,一般酒
15.4,2.98,5.1,1.28,1.34,-0.343,-1.01,72,紙パック,一般酒
16.2,0.757,4.07,1.02,0.922,-0.019,-0.989,67,緑色瓶,一般酒
14.3,2.79,4.45,1.28,1.86,-0.078,-1.01,73,紙パック,一般酒
15.3,5.72,4.24,0.981,0.965,-0.286,-0.981,68,茶色瓶,一般酒
14.7,4.58,4.27,1.58,1.08,-0.138,-0.98,69,茶色瓶,一般酒
15.4,6.6,4.6,1.34,1.66,0.39,-1.09,70,茶色瓶,一般酒
16.2,0.345,5.29,0.928,1.48,-0.2,-0.994,73,茶色瓶,一般酒
15.2,9.52,4.82,1.4,0.973,-0.194,-1.01,67,緑色瓶,一般酒
15.2,0.131,4.97,0.996,1.39,-0.245,-1.07,73,茶色瓶,一般酒
15.7,2.59,5.7,1.48,0.782,0.025,-0.91,68,茶色瓶,一般酒
15.3,2.2,5.1,0.914,1.74,0.307,-1.01,72,茶色瓶,一般酒
15.6,1.38,4.53,1.53,1.03,-0.064,-0.966,71,緑色瓶,一般酒
15,0.297,4.57,1.24,1.16,-0.292,-0.963,72,茶色瓶,一般酒
16.4,11.3,5.39,0.975,1.16,0.053,-1.04,71,茶色瓶,一般酒
15.4,3.5,3.96,1.04,1.42,0.116,-1.09,66,茶色瓶,一般酒
14.4,7.84,3.68,1.07,1.51,-0.165,-1.07,70,茶色瓶,一般酒
14.7,4.9,5.4,0.905,0.796,-0.417,-0.993,70,茶色瓶,一般酒
14.6,-3.32,4.61,1.37,1.34,-0.176,-1.06,70,紙パック,一般酒
14.6,2.56,4.84,1.43,1.01,0.029,-0.996,66,茶色瓶,一般酒
15.5,2.28,3.84,1.24,0.922,0.052,-1,67,紙パック,一般酒
15.7,0.309,4.04,1.19,1.34,-0.552,-1.14,68,紙パック,一般酒
14.7,6.97,4.35,1.48,0.823,-0.032,-1.07,70,茶色瓶,一般酒
15.2,-1.16,4.21,1.15,1.18,-0.152,-1.06,70,茶色瓶,一般酒
14.4,10.4,3.91,1.22,1.25,-0.265,-1.05,71,茶色瓶,一般酒
16,5.82,3.91,1.41,0.937,0.416,-1.05,72,茶色瓶,一般酒
14.5,3.34,5.36,1.5,1.45,-0.315,-0.91,73,茶色瓶,一般酒
16.8,3.87,5.08,1.05,0.925,-0.055,-0.919,70,茶色瓶,一般酒
14.8,5.21,3.98,0.73,1.08,-0.351,-0.969,69,茶色瓶,一般酒
14.1,1.24,4.39,1.09,1.3,-0.056,-0.868,72,茶色瓶,一般酒
16.2,1.2,5.06,1,1.26,-0.307,-1.06,72,茶色瓶,一般酒
14.4,2.32,4.7,0.843,0.875,0.028,-0.956,65,茶色瓶,一般酒
15.4,4.23,4.88,1.24,1.24,0.043,-1.19,71,茶色瓶,一般酒
15.1,2.13,4.23,0.814,0.691,-0.055,-1.08,71,茶色瓶,一般酒
15.9,9.95,5.23,1.27,1.79,-0.144,-1.05,71,茶色瓶,一般酒
14,-6.7,4.48,1.04,1.33,0.039,-0.9,69,緑色瓶,一般酒
15.9,-2.88,4.93,1.38,1.18,-0.135,-1.11,69,その他色瓶,一般酒
14.4,5.55,5.41,1.37,1.75,0.131,-1.05,72,紙パック,一般酒
14.5,8.02,3.92,0.968,1.21,0.013,-1.1,71,茶色瓶,一般酒
16.2,0.612,4.51,1.45,1.22,-0.028,-0.922,71,茶色瓶,一般酒
15.9,4.29,3.93,1.3,1.23,-0.238,-1.02,71,茶色瓶,一般酒
15.8,4.35,3.95,1,0.658,-0.34,-1.02,69,紙パック,一般酒
14.6,-1.17,4.68,1.06,1.35,-0.18,-0.982,66,茶色瓶,一般酒
15.3,4,4.78,0.717,1.34,0.068,-0.95,68,茶色瓶,一般酒
15.3,6.31,5.88,0.844,1.51,0.042,-1.1,68,茶色瓶,一般酒
15.6,3.49,4.26,1.15,1.68,-0.19,-1.02,69,茶色瓶,一般酒
15.8,2.38,4.34,1.41,0.841,-0.281,-1.05,73,茶色瓶,一般酒
15.5,5.52,3.96,1.21,1.12,-0.052,-1.2,73,茶色瓶,一般酒
15.8,-2.76,4.2,1.11,1.58,-0.072,-0.934,70,緑色瓶,一般酒
15.1,-2.4,4.77,1.34,1.47,0.047,-0.996,70,その他色瓶,一般酒
14.3,7.41,4.35,0.961,0.894,0.066,-0.82,68,茶色瓶,一般酒
12.6,7.44,4.22,1.1,0.843,-0.115,-0.974,74,茶色瓶,一般酒
15.4,-2.63,4.17,1.47,1.55,0.067,-0.879,67,茶色瓶,一般酒
16.4,6,3.7,1.39,1.53,-0.164,-0.938,69,茶色瓶,一般酒
15.2,0.879,5.53,1.35,1.17,-0.212,-1.04,66,茶色瓶,一般酒
15.8,8.92,4.18,0.985,0.819,0.09,-1.04,69,茶色瓶,一般酒
14.7,6.28,4.37,1.34,0.958,-0.175,-1.02,74,緑色瓶,一般酒
16,2.51,3.87,1.33,1.26,-0.243,-1.1,70,茶色瓶,一般酒
15.3,6.39,4.28,1.15,1.76,-0.164,-1.03,71,茶色瓶,一般酒
16,6.43,3.71,1.32,1.55,-0.069,-1.17,67,茶色瓶,一般酒
15.8,5.94,4.3,0.918,1.47,-0.159,-1.05,69,その他色瓶,一般酒
16.1,7.52,5.41,0.959,1.31,0.01,-0.984,71,茶色瓶,一般酒
14.7,0.394,4.04,1.09,1.34,-0.142,-0.999,70,茶色瓶,一般酒
15.4,5.31,3.32,1.16,0.866,0.288,-0.96,70,茶色瓶,一般酒
14.9,0.66,4.59,1.36,1.39,-0.037,-0.863,73,その他色瓶,一般酒
14.9,4.52,4.47,0.833,1.52,-0.064,-0.967,74,茶色瓶,一般酒
15.3,3.02,4.76,1.43,1.23,-0.105,-0.83,76,茶色瓶,一般酒
14.2,0.523,3.86,0.959,2.11,-0.171,-0.998,68,茶色瓶,一般酒
13.9,4.89,4.25,1.57,1.17,-0.155,-1.09,72,茶色瓶,一般酒
15.9,-1.77,4.38,0.935,1.07,-0.194,-1.08,68,茶色瓶,一般酒
16.3,4.12,5.07,0.974,1.17,-0.057,-0.951,69,茶色瓶,一般酒
15.2,8.85,4.55,1.04,1.25,0.136,-0.981,68,紙パック,一般酒
14.3,0.144,5.38,1.1,0.999,-0.201,-1.12,75,茶色瓶,一般酒
15,8.27,5.6,1.07,1.13,-0.535,-0.953,73,茶色瓶,一般酒
15,3.96,4.43,1.47,1.24,0.052,-1.03,70,紙パック,一般酒
14.9,5.47,3.94,1.28,1.31,0.067,-0.83,67,茶色瓶,一般酒
14.9,3.07,5.69,1.58,1.35,-0.369,-0.941,71,その他色瓶,一般酒
15.1,7.36,4.69,0.891,1.6,-0.006,-1.08,71,茶色瓶,一般酒
14.8,4.06,4.95,1.13,1.19,-0.246,-1.07,68,茶色瓶,一般酒
15,-1.6,4.8,1.28,1.64,-0.006,-1.03,64,茶色瓶,一般酒
16.3,-4.56,5.36,1.33,0.793,-0.004,-0.739,70,紙パック,一般酒
15.3,-0.259,3.83,0.741,1.48,-0.019,-0.97,71,茶色瓶,一般酒
16,13.2,5,1.21,1.36,-0.118,-0.974,68,茶色瓶,一般酒
14.5,1.99,4.77,1.17,0.987,0.103,-0.977,66,茶色瓶,一般酒
16,5.91,5.04,1.38,1.44,-0.096,-1.02,65,茶色瓶,一般酒
16.1,6.16,3.51,1.34,0.705,-0.054,-1.09,72,茶色瓶,一般酒
14.9,2.15,4.1,1.22,1.18,-0.223,-0.899,71,茶色瓶,一般酒
14.5,5.31,5.09,1.52,0.787,-0.165,-0.924,70,緑色瓶,一般酒
14.3,4.79,5.05,1.39,1.16,0.147,-0.886,70,茶色瓶,一般酒
17,5.45,4.92,1.29,1.25,-0.268,-0.869,70,茶色瓶,一般酒
15.1,5,4.84,1.1,1.4,-0.132,-1.08,69,緑色瓶,一般酒
15.1,1.79,4.69,1.42,1.89,-0.221,-0.957,69,緑色瓶,一般酒
15.1,4.89,4.99,1.49,1.1,-0.228,-0.996,71,緑色瓶,一般酒
15.7,6.78,4.95,1.2,1.37,-0.23,-1.13,69,茶色瓶,一般酒
15.9,-1.8,4.85,1.37,1.67,-0.133,-1.07,77,茶色瓶,一般酒
15.4,4.74,5.31,1.41,0.413,-0.268,-1,67,茶色瓶,一般酒
15.1,5.53,5.2,1.04,1.19,-0.244,-0.938,68,茶色瓶,一般酒
15.9,4,4.56,1.04,1.27,-0.359,-1.14,72,緑色瓶,一般酒
14.8,4.52,4.93,1,1.15,0.111,-1.13,69,茶色瓶,一般酒
14.3,12,4.36,1.28,1.39,0.109,-0.83,68,茶色瓶,一般酒
16.2,7.2,4.57,0.826,1.05,0.131,-0.923,69,茶色瓶,一般酒
15,-7.16,4.05,1.21,1.47,-0.062,-1.29,67,茶色瓶,一般酒
13.9,-1.75,4.6,0.946,1.47,-0.17,-1.11,75,茶色瓶,一般酒
16.4,3.76,4.43,1.32,1.08,0.072,-1.07,68,茶色瓶,一般酒
14.2,-1.22,4.04,1.56,1.14,-0.191,-1.12,71,茶色瓶,一般酒
16,-0.269,3.84,0.853,1.66,-0.213,-0.891,70,茶色瓶,一般酒
14.8,1.37,5.05,1.06,1.16,0.001,-0.913,72,茶色瓶,一般酒
15.2,-5.86,3.9,1.27,1.25,-0.135,-0.934,71,茶色瓶,一般酒
15.5,3.49,4.39,0.938,1.14,-0.073,-0.907,68,茶色瓶,一般酒
15.7,3.27,3.17,1.04,1.36,-0.001,-1.15,71,茶色瓶,一般酒
16.5,2.98,4.46,1.04,0.84,0.053,-0.789,71,茶色瓶,一般酒
14.5,4.68,5.04,1.07,0.968,-0.105,-1.08,72,緑色瓶,一般酒
14.4,6.89,5.14,0.834,1.24,-0.113,-0.959,69,茶色瓶,一般酒
15.7,2.98,4.11,0.973,0.663,-0.036,-0.915,73,茶色瓶,一般酒
14.5,4.78,4.69,1.03,1.6,-0.107,-1.09,70,緑色瓶,一般酒
15.4,6.81,4.05,0.88,1.4,0.073,-1.06,70,茶色瓶,一般酒
16.5,1.36,4.5,1.17,0.931,-0.017,-1.08,69,茶色瓶,一般酒
14.7,-0.15,4.35,1.37,0.486,-0.174,-1.02,73,茶色瓶,一般酒
16.3,-1.48,4.51,1.01,1.02,-0.218,-0.964,67,リターナブル瓶,一般酒
15.6,0.755,5.55,0.924,1.24,-0.11,-0.891,67,紙パック,一般酒
16.2,2.55,4.37,1.28,1.55,-0.159,-0.797,68,茶色瓶,一般酒
14.6,2.73,5.9,0.798,1.63,-0.456,-0.947,70,緑色瓶,一般酒
15.7,5.15,4.59,1.43,1.28,0.138,-1.03,72,茶色瓶,一般酒
15.9,5.87,5.05,1.42,1.24,0.057,-1.15,73,茶色瓶,一般酒
15.5,1.51,4.97,1.02,1.33,-0.114,-1.08,70,茶色瓶,一般酒
15.1,2.52,5.19,1.03,0.935,0.123,-1.01,72,茶色瓶,一般酒
14.3,2.23,4.45,1.23,1.41,-0.167,-0.927,70,紙パック,一般酒
15.7,-0.855,4.65,1.29,1.32,-0.168,-1.07,66,茶色瓶,一般酒
15.2,0.655,4.22,0.808,1.21,0.078,-1.13,70,茶色瓶,一般酒
15,-0.381,5.12,0.779,0.883,-0.208,-1.1,66,茶色瓶,一般酒
15.5,4.5,4.4,0.857,1.88,0.013,-1.15,68,茶色瓶,一般酒
15.6,4.12,3.29,1.31,0.775,-0.219,-1.08,69,紙パック,一般酒
16.2,5.24,4.33,0.829,1.09,0.225,-0.971,72,紙パック,一般酒
15.9,-2.07,4.35,0.895,0.973,-0.018,-1.06,66,茶色瓶,一般酒
14.1,3.22,3.85,1.3,0.823,-0.273,-0.992,73,茶色瓶,一般酒
15.7,4.97,4.61,1.31,0.966,-0.079,-1.05,64,茶色瓶,一般酒
16.1,4.03,4.15,1.21,0.733,-0.261,-0.909,67,茶色瓶,一般酒
15.1,-3.99,4.91,1.1,1.49,-0.103,-1.04,71,茶色瓶,一般酒
16.5,0.922,5.28,0.986,1.24,0.001,-0.918,66,茶色瓶,一般酒
14.5,4.69,4.93,0.974,1.81,-0.011,-0.859,66,茶色瓶,一般酒
16.2,3.23,4.7,1.47,1.79,-0.024,-1.06,70,茶色瓶,一般酒
16.9,6.79,5.91,0.984,1.18,-0.109,-1.1,70,茶色瓶,一般酒
15,1.87,4.15,1.6,1.15,0.154,-0.942,75,茶色瓶,一般酒
15.9,10.8,4.56,1.17,0.886,-0.23,-1.05,72,リターナブル瓶,一般酒
15.5,6.59,4.63,1.08,1.73,-0.254,-0.993,69,その他色瓶,一般酒
15.3,7.24,4.97,1.32,1.39,0.043,-0.939,68,茶色瓶,一般酒
16.9,7.63,5.34,1.3,1.71,-0.213,-0.922,73,茶色瓶,一般酒
16.1,7.53,4.52,1.67,2.1,0.011,-1.08,67,紙パック,一般酒
14.2,3.32,4.34,1.22,1.35,0.311,-0.913,66,茶色瓶,一般酒
14.6,0.435,5.18,1.08,1.61,0.197,-1.05,67,茶色瓶,一般酒
15.2,1.24,4.05,1.06,1.26,-0.117,-0.91,68,茶色瓶,一般酒
15.1,1.47,5.14,1.17,1.16,-0.088,-0.908,77,茶色瓶,一般酒
15.5,6.66,4.09,1.34,1.47,-0.022,-1.07,65,茶色瓶,一般酒
15,6.82,5.2,1.2,2.03,-0.061,-0.941,67,茶色瓶,一般酒
14.5,-0.853,1.76,0.98,0.753,-0.254,-0.963,71,茶色瓶,一般酒
15.5,1.07,3.41,1.2,0.923,0.027,-1.14,73,緑色瓶,一般酒
15.4,9.63,2.52,1.11,1.72,-0.095,-1.09,71,茶色瓶,一般酒
16.3,3.8,3.93,0.617,1.57,0.194,-0.953,74,茶色瓶,一般酒
14.2,3.9,5.19,0.894,1.59,-0.232,-1.07,73,その他色瓶,一般酒
14.8,3.33,4.8,1.19,1.12,0.175,-1.07,71,茶色瓶,一般酒
15.3,-2.64,5.21,0.924,1.48,-0.391,-0.972,74,茶色瓶,一般酒
14.8,4.82,4.25,1.2,1.23,0.002,-1,69,茶色瓶,一般酒
15.4,7.98,4.51,1.24,1.2,-0.019,-0.935,70,緑色瓶,一般酒
14,8.18,3.98,0.898,0.935,0.139,-1.14,70,茶色瓶,一般酒
14.8,6.22,3.77,1.5,1.17,0.132,-1.13,73,茶色瓶,一般酒
15.7,3.64,4.9,0.847,1.26,-0.32,-1.17,70,茶色瓶,一般酒
16.2,5.15,3.66,1.04,2.04,-0.135,-1.03,69,茶色瓶,一般酒
14.1,2.82,5.06,1.33,1.67,-0.005,-1.13,66,茶色瓶,一般酒
15.5,-4.91,4.85,0.851,1.77,-0.09,-0.83,70,茶色瓶,一般酒
16.1,2.61,4.25,0.956,1.35,-0.351,-0.982,67,茶色瓶,一般酒
15.2,0.0258,3.39,1.48,0.868,-0.346,-0.994,70,紙パック,一般酒
15.7,7.8,4.15,1.19,0.337,-0.234,-0.972,69,茶色瓶,一般酒
14.2,-2.14,4.57,1.14,0.862,-0.195,-0.992,70,茶色瓶,一般酒
16.2,-0.941,4.28,1.16,0.937,0.034,-1.07,69,緑色瓶,一般酒
15.3,8.19,4.19,1.05,1.16,0.017,-1.07,70,青色瓶,一般酒
15.4,2.32,3.72,1.03,0.802,0.017,-0.983,73,茶色瓶,一般酒
15.4,2.89,4.2,1.14,1.26,-0.164,-0.949,72,茶色瓶,一般酒
15.1,0.56,4.99,0.921,1.16,0.044,-0.927,72,紙パック,一般酒
14.7,10.5,5.1,1.48,1.48,-0.281,-1.01,71,茶色瓶,一般酒
15.2,2.91,4.92,1.28,1.13,-0.242,-0.845,73,茶色瓶,一般酒
15.9,1.37,5.4,1.26,1.44,0.114,-1.02,68,茶色瓶,一般酒
15.4,1.39,4.92,1.36,1.65,-0.224,-1.11,66,茶色瓶,一般酒
14.5,10.4,3.48,1.19,0.897,-0.667,-1.05,71,紙パック,一般酒
15.6,3.4,4.61,0.907,1.7,-0.23,-0.923,70,茶色瓶,一般酒
15.6,-0.117,3.43,0.929,1.36,0.15,-1.12,68,茶色瓶,一般酒
14.5,7.97,4.6,1.01,1.3,-0.19,-1.05,69,茶色瓶,一般酒
16,8.8,5.45,1.04,1.56,-0.061,-1.02,70,紙パック,一般酒
14.1,4.25,4.64,0.967,1.71,-0.307,-1,65,茶色瓶,一般酒
15.2,5.98,3.54,0.58,1.43,-0.181,-1.05,75,紙パック,一般酒
14.9,9.7,3.72,1.24,1.09,-0.118,-1.16,70,茶色瓶,一般酒
15.9,3.14,4.3,1.38,1.3,0.261,-1.03,70,茶色瓶,一般酒
15.2,-1.31,5.48,1.34,0.743,-0.059,-0.924,73,茶色瓶,一般酒
14.8,2.66,4.81,1.03,1.39,-0.217,-0.973,69,茶色瓶,一般酒
14,-3.17,3.38,1.07,1.86,-0.002,-1.07,72,茶色瓶,一般酒
15.9,5.34,4.74,0.837,1.13,0.122,-1.07,67,その他色瓶,一般酒
15.4,4.09,4.16,1.32,1.01,0.029,-1.02,68,紙パック,一般酒
15,-2.31,5.64,0.613,1.37,0.011,-1.11,70,茶色瓶,一般酒
14.2,3.9,4.37,1.2,1.73,0.134,-1.21,72,茶色瓶,一般酒
15.6,0.685,4.29,1.62,1.68,-0.07,-0.988,72,茶色瓶,一般酒
14.8,9.52,4.28,1.53,0.932,0.17,-0.888,70,茶色瓶,一般酒
15.2,4.26,4.82,1.65,1.32,-0.117,-0.968,66,茶色瓶,一般酒
15.3,0.784,3.93,1.11,1.01,-0.319,-0.966,74,茶色瓶,一般酒
14.9,5.63,4.99,1.13,1.13,-0.054,-1.01,72,紙パック,一般酒
15.4,3.32,3.58,1.18,0.88,-0.267,-1.02,77,その他色瓶,一般酒
16.1,8.66,4.93,1.25,1.24,-0.3,-0.977,68,茶色瓶,一般酒
15.8,9.32,5.56,1.39,1.09,-0.146,-1.01,72,茶色瓶,一般酒
16,6.43,3.45,1.21,1.31,-0.327,-0.922,70,茶色瓶,一般酒
14.2,1.8,3.42,0.863,1.01,0.027,-0.908,70,茶色瓶,一般酒
14.2,1.83,4.48,1.08,2.31,-0.274,-0.968,69,茶色瓶,一般酒
16,0.201,3.82,1.46,1.57,-0.095,-0.949,74,紙パック,一般酒
15.3,1.13,5.13,1.19,0.951,-0.031,-1.15,72,茶色瓶,一般酒
15.7,10.8,4.79,0.85,1.13,-0.231,-1.05,73,紙パック,一般酒
15.5,4.81,2.81,1.37,1.14,-0.26,-0.899,67,茶色瓶,一般酒
16.5,4.4,4.27,1.38,1.34,-0.231,-0.928,70,茶色瓶,一般酒
15.1,2.89,4.58,1.18,1.7,-0.023,-1.04,69,緑色瓶,一般酒
15.5,3.43,4.18,1.23,1.85,-0.006,-0.888,75,茶色瓶,一般酒
15.7,6.3,4.6,1.3,1.37,-0.245,-1.09,73,茶色瓶,一般酒
15.8,5.09,3.65,1.44,1.25,-0.131,-1.09,71,茶色瓶,一般酒
15.7,10.5,4.16,0.991,1.68,-0.165,-1.16,74,緑色瓶,一般酒
16,5.74,4.58,1.23,1.14,-0.019,-0.898,69,茶色瓶,一般酒
15.5,2.52,3.66,1.37,0.833,-0.335,-0.821,74,茶色瓶,一般酒
16.1,3.61,3.28,0.828,0.876,0.06,-0.934,68,茶色瓶,一般酒
